"anio","comuna","total_homicidios","total_victimas","poblacion","tasa_victimas_100k"
2022,1,16,16,257934,6.20313723665744
2022,2,2,2,149337,1.33925283084567
2022,3,4,4,193560,2.06654267410622
2022,4,22,22,240716,9.13940078765018
2022,5,2,2,187800,1.06496272630458
2022,6,2,2,185760,1.07665805340224
2022,7,18,19,242460,7.83634413923946
2022,8,8,8,230018,3.47798867914685
2022,9,2,2,171600,1.16550116550117
2022,10,0,0,170750,0
2022,11,1,1,190135,0.525942093775475
2022,12,3,4,215189,1.85883107407907
2022,13,2,2,236566,0.845430027983734
2022,14,2,2,227219,0.880208081190393
2022,15,3,3,182506,1.64378157430441
