"anio","cantidad_victimas_masc","cantidad_victimas_fem","cantidad_victimas","porcentaje_masc","porcentaje_fem","tasa_por_100k","poblacion_total"
2014,163,34,200,0.815,0.17,6.55903508723025,3049229
2015,134,31,165,0.812121212121212,0.187878787878788,5.40227818982427,3054267
2016,130,16,146,0.89041095890411,0.10958904109589,4.77261122635841,3059122
2017,112,31,143,0.783216783216783,0.216783216783217,4.66751617637075,3063728
2018,117,20,137,0.854014598540146,0.145985401459854,4.46538721914914,3068043
2019,84,18,102,0.823529411764706,0.176470588235294,3.32028115620002,3072029
2020,111,14,125,0.888,0.112,4.06418684074825,3075646
2021,83,20,103,0.805825242718447,0.194174757281553,3.34542015229132,3078836
2022,76,13,89,0.853932584269663,0.146067415730337,2.88815693401048,3081550
